Case,Average Final Value,Rank
case20,403978.2,1.0
case3,404483.8,2.0
case8,404643.2,3.0
case4,404655.8,4.0
case7,404938.6,5.0
case19,405599.8,6.0
case5,406468.4,7.0
case24,406553.2,8.0
case1,406616.4,9.0
case23,407065.0,10.0
case17,408021.8,11.0
case22,408125.0,12.0
case6,408576.8,13.0
case21,409308.8,14.0
case2,410996.4,15.0
case18,411006.8,16.0
case11,411137.4,17.0
case15,414675.4,18.0
case16,414720.6,19.0
case12,415256.2,20.0
case14,417549.4,21.0
case13,417849.0,22.0
case9,418587.0,23.0
case10,421399.0,24.0
