Case,Average Final Value,Rank
case3,519940.8,1.0
case8,520147.2,2.0
case19,521916.2,3.0
case7,522427.4,4.0
case4,522745.6,5.0
case20,523288.0,6.0
case23,523450.6,7.0
case24,523459.4,8.0
case1,525221.0,9.0
case18,525586.4,10.0
case5,526396.0,11.0
case21,527476.8,12.0
case2,527885.6,13.0
case17,528720.6,14.0
case6,529000.6,15.0
case22,529448.0,16.0
case15,534808.8,17.0
case12,536627.2,18.0
case16,537093.6,19.0
case11,537609.6,20.0
case13,539608.6,21.0
case10,542299.0,22.0
case14,542738.8,23.0
case9,544110.8,24.0
